,maxtemp,temp,humid,cloud,wind,country,date,lon,lat,cityname
252,29.04,29.04,69,100,1.01,VE,1618687737,-70.6036,9.3178,valera
253,10.0,9.49,43,1,7.2,US,1618687738,-112.2983,40.5308,tooele
254,16.69,16.69,73,0,3.13,ZA,1618687586,32.0377,-28.783,richards bay
255,-8.56,-8.56,97,93,0.79,RU,1618687593,138.1667,56.45,ayan
256,0.5,0.5,99,100,3.37,RU,1618687738,142.9478,53.5739,okha
257,8.0,8.0,76,75,4.12,IE,1618687739,-9.2667,51.55,skibbereen
258,-7.11,-7.11,89,97,2.65,RU,1618687739,158.6667,57.8,tigil
259,22.17,22.17,63,8,3.25,UY,1618687526,-54.3333,-34.4833,rocha
260,7.61,7.61,59,46,2.37,CN,1618687739,88.1167,47.8667,altay
261,18.0,18.0,94,75,3.6,PT,1618687740,-25.4333,37.7167,vila franca do campo
262,29.0,29.0,74,20,4.12,AO,1618687740,13.2343,-8.8368,luanda
263,24.56,24.56,83,99,0.87,CD,1618687740,20.8667,-0.2167,boende
264,22.76,22.76,87,100,0.84,ID,1618687741,111.1167,-7.8833,jatiroto
265,15.51,15.51,58,96,3.1,NZ,1618687741,173.1667,-35.1667,ahipara
266,12.0,12.0,94,5,1.03,ZA,1618687741,20.4417,-34.0226,swellendam
267,7.0,5.81,56,1,3.6,US,1618687659,-151.2583,60.5544,kenai
268,0.0,0.0,100,90,11.0,RU,1618687742,177.4833,64.75,anadyr
269,17.0,15.02,22,0,5.14,ES,1618687742,-4.1073,38.6871,puertollano
270,25.0,25.0,94,75,2.06,PE,1618687742,-69.1833,-12.7333,tambopata
271,20.0,18.53,49,20,4.12,US,1618687742,-76.9013,34.8791,havelock
272,27.61,27.61,76,100,0.61,BR,1618687465,-55.8661,-1.7656,oriximina
273,23.33,21.32,74,100,0.89,HK,1618687743,114.1577,22.2855,victoria
274,29.0,29.0,74,20,4.12,MX,1618687743,-97.0667,15.85,puerto escondido
275,27.49,27.49,78,24,4.48,BR,1618687744,-39.2689,-3.2778,trairi
276,25.0,24.01,31,40,6.17,US,1618687744,-82.5271,33.194,avera
277,25.19,25.19,86,79,1.54,ID,1618687744,96.1285,4.1363,meulaboh
278,-15.22,-15.22,96,100,4.92,RU,1618687602,128.8694,71.6872,tiksi
279,29.0,29.0,84,40,5.66,BJ,1618687745,2.6036,6.4965,porto novo
280,4.0,4.0,81,90,4.12,IS,1618687745,-22.4338,63.8424,grindavik
281,-7.0,-7.11,58,40,2.57,CA,1618687745,-68.5145,63.7506,iqaluit
282,-16.66,-16.66,96,100,4.27,RU,1618687636,102.5,71.9667,khatanga
283,24.92,24.92,78,100,15.29,PH,1618687746,121.9702,20.4487,basco
284,27.22,26.11,78,40,4.12,BR,1618687560,-40.2925,-20.3297,vila velha
285,28.8,28.8,59,0,1.91,IN,1618687746,73.1167,21.1167,bardoli
